npc_id,t_send,t_recv,latency_s,ok_json,tokens_in,tokens_out,error,minute
2,18354.5131151,18355.6616769,1.148561800000607,1,339,140,,0
0,18354.5066337,18355.6777551,1.1711214000024484,1,339,139,,0
3,18354.5138926,18355.7497401,1.2358475000000908,1,339,181,,0
4,18354.5145895,18355.8122113,1.2976218000003428,1,339,192,,0
1,18354.5121414,18355.9121777,1.400036300001375,1,339,230,,0
3,18356.2803374,18357.5431488,1.2628113999999186,1,339,161,,0
4,18357.3773197,18358.2838731,0.9065534000001207,1,339,264,,0
2,18358.9002106,18359.7019098,0.8016991999975289,1,339,217,,0
3,18362.3276173,18362.9554787,0.6278614000002563,1,339,126,,0
2,18369.7903885,18370.6149864,0.82459789999848,1,339,196,,0
4,18370.4594491,18371.341681,0.8822319000028074,1,339,186,,0
1,18371.1674058,18371.9360859,0.7686801000018022,1,339,203,,0
4,18371.8398837,18372.5900042,0.7501205000007758,1,339,191,,0
4,18374.7569175,18375.4668188,0.709901300000638,1,339,149,,0
2,18376.1158753,18376.8379544,0.7220790999999736,1,339,185,,0
2,18382.021638,18383.1364538,1.1148158000032709,1,339,233,,0
4,18388.6125149,18389.3775767,0.7650618000006943,1,339,170,,0
2,18397.0159933,18397.8588988,0.8429055000015069,1,339,219,,0
1,18398.8868093,18399.9175862,1.0307769000028202,1,339,160,,0
0,18403.5351769,18404.8296062,1.294429300000047,1,339,179,,0
2,18406.60534,18407.5449021,0.9395621000003302,1,339,144,,0
4,18409.867697,18411.157591,1.2898939999977301,1,339,161,,0
0,18415.8951461,18416.8191603,0.9240142000016931,1,339,283,,1
2,18417.1190949,18417.8351738,0.7160788999972283,1,339,171,,1
4,18418.847509,18420.8201164,1.9726073999991058,1,339,263,,1
4,18426.0203987,18426.8542734,0.8338747000016156,1,339,203,,1
4,18428.1859128,18429.0645085,0.8785957000000053,1,339,260,,1
1,18431.2202319,18432.0046978,0.7844659000002139,1,339,198,,1
4,18435.4654903,18436.2090557,0.7435654000000795,1,339,190,,1
4,18436.5248284,18437.3532232,0.8283947999989323,1,339,164,,1
0,18453.7197022,18454.5054523,0.7857500999998592,1,339,177,,1
0,18467.2127802,18467.918194,0.7054138000021339,1,339,145,,1
0,18471.1584756,18471.8511455,0.6926698999996006,1,339,137,,1
0,18496.4678211,18497.5037578,1.035936700001912,1,339,301,,2
1,18499.4840316,18500.108051,0.6240193999983603,1,339,129,,2
3,18502.4643625,18503.7242604,1.259897899999487,1,339,152,,2
2,18507.1266731,18507.8255752,0.6989021000008506,1,339,167,,2
1,18513.0842194,18514.0670331,0.9828137000004062,1,339,282,,2
0,18523.0142442,18524.0782411,1.0639969000003475,1,339,267,,2
1,18528.5859103,18529.2881709,0.7022605999991356,1,339,151,,2
3,18528.5407506,18529.3806509,0.8399002999976801,1,339,235,,2
3,18531.4807236,18532.0992219,0.6184982999984641,1,339,130,,2
2,18537.4992139,18538.2168614,0.7176475000014761,1,339,158,,3
1,18544.6211523,18546.3665542,1.745401900003344,1,339,168,,3
2,18553.3420461,18554.2219501,0.879904000001261,1,339,223,,3
4,18554.2100094,18555.0610777,0.8510682999985875,1,339,210,,3
0,18554.7929835,18555.4835272,0.6905436999986705,1,339,171,,3
0,18560.289527,18563.4045854,3.1150583999988157,1,339,160,,3
0,18565.4992704,18567.2295534,1.7302830000007816,1,339,279,,3
3,18581.8437692,18582.8361342,0.9923649999982445,1,339,271,,3
2,18581.0506631,18583.1209981,2.070335000000341,0,339,183,,3
1,18584.6044212,18585.4395671,0.83514589999686,1,339,183,,3
4,18590.7604818,18592.4768616,1.7163798000001407,1,339,146,,3
3,18591.3859539,18593.3679688,1.9820149000006495,1,339,154,,3
2,18598.6134549,18599.3589204,0.7454655000001367,1,339,171,,4
0,18602.4735417,18603.20495,0.7314082999982929,1,339,180,,4
2,18607.0176948,18607.9839387,0.966243899998517,1,339,188,,4
3,18612.7882013,18613.7117035,0.9235021999993478,1,339,206,,4
2,18614.6437464,18615.3827177,0.7389712999975018,1,339,192,,4
0,18614.9507373,18616.0416661,1.0909288000002562,1,339,286,,4
1,18618.6945394,18619.3877801,0.6932407000022067,1,339,171,,4
2,18623.0926011,18624.0567497,0.9641486000000441,1,339,297,,4
4,18624.1528394,18624.9804709,0.8276314999966417,1,339,155,,4
1,18636.9697612,18637.7368441,0.7670828999980586,1,339,177,,4
2,18637.3387424,18638.420777,1.0820346000000427,1,339,201,,4
1,18638.1018002,18639.1045586,1.0027584000017669,1,339,190,,4
0,18634.8327114,18639.6943481,4.861636700003146,1,339,159,,4
1,18639.9536579,18640.8006164,0.8469584999984363,1,339,235,,4
3,18641.0026731,18641.8393423,0.8366692000017792,1,339,240,,4
2,18648.568732,18650.5366775,1.9679455000004964,1,339,176,,4
4,18651.8835365,18652.5975722,0.7140356999989308,1,339,182,,4
1,18652.5378696,18653.2124214,0.6745517999988806,0,339,141,,4
3,18653.9248899,18654.6384735,0.7135835999979463,1,339,168,,5
