minute,tokens_in_min,tokens_out_min,tokens_total_min,latency_mean_s,latency_med_s,requests,errors,invalid_json,cost_min_usd
0,7106,1065,8171,1.3385988181817083,0.3795476499981305,22,0,0,0.0
1,3553,604,4157,0.3726432636361675,0.36470009999902686,11,0,2,0.0
2,2907,490,3397,0.36231690000042566,0.35640979999880074,9,0,1,0.0
3,3876,625,4501,0.3724869333333724,0.3468422499990993,12,0,0,0.0
4,6783,1056,7839,0.35525837142856853,0.3440078999992693,21,0,0,0.0
5,3876,837,4713,0.3601126416670013,0.34269975000097475,12,0,1,0.0
6,3553,665,4218,0.366794236363851,0.3643651999991562,11,0,0,0.0
7,6137,1005,7142,0.3630302578954127,0.346302600002673,19,0,0,0.0
8,4522,902,5424,0.3653227428567334,0.35193894999974873,14,0,0,0.0
9,3230,514,3744,0.3538916999998037,0.35969549999936135,10,0,0,0.0
10,3553,535,4088,0.3742977909086304,0.3866431999995257,11,0,0,0.0
11,4522,1045,5567,0.37168426428486,0.3646714999977121,14,0,0,0.0
12,5168,820,5988,0.35220948750043135,0.3429509500001586,16,0,0,0.0
13,5168,844,6012,0.34679490000030455,0.3459053500009759,16,0,0,0.0
14,4199,631,4830,0.3533820999999499,0.34326230000078795,13,0,0,0.0
15,323,46,369,0.30051969999840367,0.30051969999840367,1,0,0,0.0
