minute,tokens_in_min,tokens_out_min,tokens_total_min,latency_mean_s,latency_med_s,requests,errors,invalid_json,cost_min_usd
0,7458,6505,13963,0.9506146000001702,0.9179916499997489,22,0,0,0.0
1,3729,3281,7010,1.05404900000047,0.954058499999519,11,0,0,0.0
2,3051,2597,5648,0.8389459777770552,0.8689855000011448,9,0,0,0.0
3,4068,3990,8058,1.1636626166664428,1.1545192499997938,12,0,0,0.0
4,6441,6048,12489,0.6981279684206176,0.6750730000021576,19,0,0,0.0
5,4407,4176,8583,1.8977553230775253,0.8015902999977698,13,2,0,0.0
6,3051,2899,5950,1.2543106555559562,1.1549669000014546,9,0,0,0.0
7,5424,4552,9976,2.3271120000003975,1.2763448000005155,16,2,0,0.0
8,4068,3407,7475,1.997616658333148,1.0316494000016974,12,1,0,0.0
9,3729,3592,7321,2.3764030545462447,1.9582373000012012,11,2,0,0.0
10,3729,3365,7094,0.9399895272723701,0.9633978999991086,11,0,0,0.0
11,4746,4257,9003,0.6833529857142692,0.6612536500015267,14,0,0,0.0
12,4407,4276,8683,0.709374492308248,0.7002783000025374,13,0,0,0.0
13,4407,3971,8378,0.987370615384022,0.6920269999973243,13,1,0,0.0
14,4068,3726,7794,1.861449316666646,0.856064100000367,12,8,0,0.0
15,678,379,1057,5.6462202000002435,5.6462202000002435,2,2,0,0.0
