npc_id,t_send,t_recv,latency_s,ok_json,tokens_in,tokens_out,error,minute
4,16614.7037231,16615.6201947,0.9164716000013868,1,339,319,,0
3,16614.7028762,16615.6223879,0.919511699998111,1,339,300,,0
0,16614.6939007,16615.669395,0.9754943000007188,1,339,392,,0
1,16614.700869,16615.6846641,0.9837951000008616,1,339,389,,0
2,16614.7020251,16615.6872134,0.9851883000010275,1,339,372,,0
3,16616.1653237,16616.6746631,0.5093393999995897,1,339,166,,0
4,16617.1817241,16618.0011913,0.8194672000026912,1,339,483,,0
2,16618.9238209,16619.403327,0.47950610000043525,1,339,139,,0
3,16621.4398573,16622.238341,0.7984837000003608,1,339,464,,0
2,16629.5020385,16630.9272101,1.425171599999885,1,339,267,,0
4,16630.189531,16631.2944033,1.104872299998533,1,339,222,,0
1,16630.927414,16631.7121112,0.7846971999970265,1,339,178,,0
4,16631.7949601,16633.250806,1.4558458999999857,1,339,261,,0
4,16635.4199782,16636.4648698,1.0448915999986639,1,339,232,,0
2,16636.4321264,16637.3226874,0.8905610000001616,1,339,174,,0
2,16642.5036031,16643.8627688,1.3591656999997213,1,339,321,,0
4,16649.6156487,16650.9790331,1.3633843999996316,1,339,367,,0
2,16657.7235251,16658.4872014,0.7636763000009523,1,339,387,,0
1,16658.6721543,16659.3415699,0.6694156000012299,1,339,319,,0
0,16663.51257,16664.2506918,0.738121800000954,1,339,395,,0
2,16667.2331494,16668.1135304,0.8803810000026715,1,339,78,,0
4,16671.4847896,16672.530869,1.0460793999991438,1,339,280,,0
0,16675.3070115,16676.26107,0.954058499999519,1,339,344,,1
2,16677.6851441,16678.5578981,0.8727539999999863,1,339,191,,1
4,16680.2318701,16681.488888,1.2570178999994823,1,339,410,,1
4,16686.6834459,16687.6289679,0.9455220000018016,1,339,322,,1
4,16688.9671754,16690.3412507,1.374075299998367,1,339,280,,1
1,16690.6359085,16691.7095714,1.0736628999984532,1,339,303,,1
4,16696.7489261,16697.4169799,0.6680538000000524,1,339,274,,1
4,16697.7339807,16698.4055109,0.6715302000011434,1,339,338,,1
0,16713.1640926,16714.0895869,0.9254943000014464,1,339,186,,1
0,16726.7920452,16728.621308,1.829262800001743,1,339,390,,1
0,16731.8545627,16732.87767,1.0231073000031756,1,339,243,,1
